task_name,task_idx,hf_path,hf_name,split,sample_idx,hf_source_idx,label_raw,label_offset,label_global,num_classes,class_label,input_type,text
sst2,0,nyu-mll/glue,sst2,train,0,7265,1,0,1,2,positive,single,conjured up more coming-of-age stories than seem possible
sst2,0,nyu-mll/glue,sst2,train,1,49582,0,0,0,2,negative,single,is workmanlike in the extreme .
sst2,0,nyu-mll/glue,sst2,train,2,34760,1,0,1,2,positive,single,stylish and moody
sst2,0,nyu-mll/glue,sst2,train,3,8152,0,0,0,2,negative,single,( t ) his slop
sst2,0,nyu-mll/glue,sst2,train,4,58166,0,0,0,2,negative,single,a sentimental mess that never rings true .
sst2,0,nyu-mll/glue,sst2,train,5,57243,1,0,1,2,positive,single,retains an extraordinary faith in the ability of images to communicate the truth of the world around him
sst2,0,nyu-mll/glue,sst2,train,6,31824,1,0,1,2,positive,single,"if you think it 's a riot to see rob schneider in a young woman 's clothes , then you 'll enjoy the hot chick ."
sst2,0,nyu-mll/glue,sst2,train,7,64862,1,0,1,2,positive,single,"the sentimental script has problems , but the actors pick up the slack"
sst2,0,nyu-mll/glue,sst2,train,8,29967,0,0,0,2,negative,single,probably be one of those movies barely registering a blip on the radar screen of 2002 .
sst2,0,nyu-mll/glue,sst2,train,9,17789,0,0,0,2,negative,single,the desperation of a very insecure man
sst2,0,nyu-mll/glue,sst2,train,10,20307,0,0,0,2,negative,single,started with a great premise and then just fell apart
sst2,0,nyu-mll/glue,sst2,train,11,58041,0,0,0,2,negative,single,a two star script
sst2,0,nyu-mll/glue,sst2,train,12,61204,1,0,1,2,positive,single,an unexpectedly sweet story of
sst2,0,nyu-mll/glue,sst2,train,13,15822,1,0,1,2,positive,single,"effort to see an artist , still committed to growth in his ninth decade , change while remaining true to his principles"
sst2,0,nyu-mll/glue,sst2,train,14,18415,1,0,1,2,positive,single,a determined woman 's courage to find her husband in a war zone
sst2,0,nyu-mll/glue,sst2,train,15,25039,0,0,0,2,negative,single,becomes instead a grating endurance test .
sst2,0,nyu-mll/glue,sst2,train,16,8951,0,0,0,2,negative,single,"halfway through this picture i was beginning to hate it , and ,"
sst2,0,nyu-mll/glue,sst2,train,17,34662,0,0,0,2,negative,single,a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little
sst2,0,nyu-mll/glue,sst2,train,18,34721,0,0,0,2,negative,single,at once overly old-fashioned in its sudsy plotting and
sst2,0,nyu-mll/glue,sst2,train,19,14217,0,0,0,2,negative,single,significantly less charming than listening to a four-year-old
sst2,0,nyu-mll/glue,sst2,train,20,59499,0,0,0,2,negative,single,of the most repellent things
sst2,0,nyu-mll/glue,sst2,train,21,26769,0,0,0,2,negative,single,impossible to even categorize this as a smutty guilty pleasure
sst2,0,nyu-mll/glue,sst2,train,22,16977,0,0,0,2,negative,single,"offer any insights that have n't been thoroughly debated in the media already , back in the dahmer heyday of the mid - '90s"
sst2,0,nyu-mll/glue,sst2,train,23,32659,1,0,1,2,positive,single,convey a tiny sense of hope
sst2,0,nyu-mll/glue,sst2,train,24,55605,0,0,0,2,negative,single,ultimate demise
sst2,0,nyu-mll/glue,sst2,train,25,52101,0,0,0,2,negative,single,ever such a dependable concept was botched in execution
sst2,0,nyu-mll/glue,sst2,train,26,33472,0,0,0,2,negative,single,heavy-handed moralistic
sst2,0,nyu-mll/glue,sst2,train,27,24760,0,0,0,2,negative,single,grows on you -- like a rash
sst2,0,nyu-mll/glue,sst2,train,28,5433,0,0,0,2,negative,single,sickening thud
sst2,0,nyu-mll/glue,sst2,train,29,25015,0,0,0,2,negative,single,entertainment opportunism at its most glaring
sst2,0,nyu-mll/glue,sst2,train,30,66845,0,0,0,2,negative,single,ca n't generate enough heat in this cold vacuum of a comedy to start a reaction
sst2,0,nyu-mll/glue,sst2,train,31,55550,1,0,1,2,positive,single,has found the perfect material with which to address his own world war ii experience in his signature style .
sst2,0,nyu-mll/glue,sst2,train,32,49415,0,0,0,2,negative,single,"for older fans or a silly , nickelodeon-esque kiddie flick"
sst2,0,nyu-mll/glue,sst2,train,33,25567,1,0,1,2,positive,single,a remarkable and novel concept
sst2,0,nyu-mll/glue,sst2,train,34,57119,0,0,0,2,negative,single,"flimsier with its many out-sized , out of character and logically porous action set"
sst2,0,nyu-mll/glue,sst2,train,35,33889,0,0,0,2,negative,single,smallness
sst2,0,nyu-mll/glue,sst2,train,36,26903,1,0,1,2,positive,single,smart and dark - hallelujah for small favors
sst2,0,nyu-mll/glue,sst2,train,37,9715,1,0,1,2,positive,single,'s invigorating about
sst2,0,nyu-mll/glue,sst2,train,38,22002,1,0,1,2,positive,single,"charming , thought-provoking new york fest"
sst2,0,nyu-mll/glue,sst2,train,39,48000,1,0,1,2,positive,single,real emotional impact
sst2,0,nyu-mll/glue,sst2,train,40,49161,0,0,0,2,negative,single,you have a case of masochism and an hour and a half to blow
sst2,0,nyu-mll/glue,sst2,train,41,16223,1,0,1,2,positive,single,as we
sst2,0,nyu-mll/glue,sst2,train,42,28701,1,0,1,2,positive,single,strike a chord with anyone who 's ever
sst2,0,nyu-mll/glue,sst2,train,43,10682,1,0,1,2,positive,single,impressive for the sights and sounds of the wondrous beats
sst2,0,nyu-mll/glue,sst2,train,44,66752,1,0,1,2,positive,single,"hey , those farts got to my inner nine-year-old"
sst2,0,nyu-mll/glue,sst2,train,45,27695,1,0,1,2,positive,single,"shows holmes has the screen presence to become a major-league leading lady , ( but )"
sst2,0,nyu-mll/glue,sst2,train,46,5412,1,0,1,2,positive,single,a good music documentary
sst2,0,nyu-mll/glue,sst2,train,47,19443,0,0,0,2,negative,single,a high-minded snoozer .
sst2,0,nyu-mll/glue,sst2,train,48,15311,0,0,0,2,negative,single,"is to ponder how a whole segment of pop-music history has been allowed to get wet , fuzzy and sticky"
sst2,0,nyu-mll/glue,sst2,train,49,16073,1,0,1,2,positive,single,"directed , highly professional film that 's old-fashioned in all the best possible ways ."
sst2,0,nyu-mll/glue,sst2,train,50,20023,0,0,0,2,negative,single,"the film does n't have enough innovation or pizazz to attract teenagers , and it lacks the novel charm that made spy kids a surprising winner with both adults and younger audiences ."
sst2,0,nyu-mll/glue,sst2,train,51,13139,0,0,0,2,negative,single,", trouble every day is a plodding mess ."
sst2,0,nyu-mll/glue,sst2,train,52,13316,1,0,1,2,positive,single,"'s fun , splashy and entertainingly nasty"
sst2,0,nyu-mll/glue,sst2,train,53,52635,0,0,0,2,negative,single,it goes nowhere
sst2,0,nyu-mll/glue,sst2,train,54,9087,0,0,0,2,negative,single,trash-cinema
sst2,0,nyu-mll/glue,sst2,train,55,35736,0,0,0,2,negative,single,camouflage how bad his movie is
sst2,0,nyu-mll/glue,sst2,train,56,12574,1,0,1,2,positive,single,impressed
sst2,0,nyu-mll/glue,sst2,train,57,10754,1,0,1,2,positive,single,so fascinating you wo n't be able to look away for a second
sst2,0,nyu-mll/glue,sst2,train,58,5432,1,0,1,2,positive,single,"show for their labor , living harmoniously , joined in song"
sst2,0,nyu-mll/glue,sst2,train,59,5095,1,0,1,2,positive,single,thought-provoking
sst2,0,nyu-mll/glue,sst2,train,60,54397,0,0,0,2,negative,single,left me behind at the station looking for a return ticket to realism
sst2,0,nyu-mll/glue,sst2,train,61,63393,0,0,0,2,negative,single,toilet
sst2,0,nyu-mll/glue,sst2,train,62,237,0,0,0,2,negative,single,seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little
sst2,0,nyu-mll/glue,sst2,train,63,15447,0,0,0,2,negative,single,"premise , mopes through a dreary tract of virtually plotless meanderings and then ends with a whimper"
sst2,0,nyu-mll/glue,sst2,train,64,26749,1,0,1,2,positive,single,delightful entree
sst2,0,nyu-mll/glue,sst2,train,65,25488,0,0,0,2,negative,single,marginal
sst2,0,nyu-mll/glue,sst2,train,66,40445,1,0,1,2,positive,single,keep the story subtle and us in suspense
sst2,0,nyu-mll/glue,sst2,train,67,23381,1,0,1,2,positive,single,nobody here bothered to check it twice .
sst2,0,nyu-mll/glue,sst2,train,68,5975,0,0,0,2,negative,single,"further sad evidence that tom tykwer , director of the resonant and sense-spinning run lola run , has turned out to be a one-trick pony"
sst2,0,nyu-mll/glue,sst2,train,69,4626,0,0,0,2,negative,single,groan
sst2,0,nyu-mll/glue,sst2,train,70,61410,1,0,1,2,positive,single,the great films
sst2,0,nyu-mll/glue,sst2,train,71,35156,1,0,1,2,positive,single,the rare movie that 's as crisp and to the point
sst2,0,nyu-mll/glue,sst2,train,72,45919,0,0,0,2,negative,single,"'s just too bad the screenwriters eventually shoot themselves in the feet with cop flick cliches like an oily arms dealer , squad car pile-ups and the requisite screaming captain ."
sst2,0,nyu-mll/glue,sst2,train,73,22679,1,0,1,2,positive,single,a.c. will help this movie one bit
sst2,0,nyu-mll/glue,sst2,train,74,13879,0,0,0,2,negative,single,fairly lame
sst2,0,nyu-mll/glue,sst2,train,75,33518,1,0,1,2,positive,single,beautifully crafted and
sst2,0,nyu-mll/glue,sst2,train,76,20479,1,0,1,2,positive,single,us
sst2,0,nyu-mll/glue,sst2,train,77,4814,0,0,0,2,negative,single,feel like a short stretched out to feature length
sst2,0,nyu-mll/glue,sst2,train,78,24472,1,0,1,2,positive,single,' romantic
sst2,0,nyu-mll/glue,sst2,train,79,25827,1,0,1,2,positive,single,heartfelt story
sst2,0,nyu-mll/glue,sst2,train,80,11585,0,0,0,2,negative,single,though this rude and crude film does deliver a few gut-busting laughs
sst2,0,nyu-mll/glue,sst2,train,81,4836,1,0,1,2,positive,single,for the most part wilde 's droll whimsy helps `` being earnest '' overcome its weaknesses and parker 's creative interference
sst2,0,nyu-mll/glue,sst2,train,82,36162,0,0,0,2,negative,single,"it gives poor dana carvey nothing to do that is really funny , and then expects us to laugh because he acts so goofy all the time"
sst2,0,nyu-mll/glue,sst2,train,83,62191,0,0,0,2,negative,single,suffers because it does n't have enough vices to merit its 103-minute length .
sst2,0,nyu-mll/glue,sst2,train,84,52807,0,0,0,2,negative,single,"it 's as sorry a mess as its director 's diabolical debut , mad cows ."
sst2,0,nyu-mll/glue,sst2,train,85,62222,0,0,0,2,negative,single,in its lack of poetic frissons
sst2,0,nyu-mll/glue,sst2,train,86,47605,0,0,0,2,negative,single,", i did n't care ."
sst2,0,nyu-mll/glue,sst2,train,87,61389,0,0,0,2,negative,single,to give the film the substance it so desperately needs
sst2,0,nyu-mll/glue,sst2,train,88,7777,0,0,0,2,negative,single,it becomes long and tedious like a classroom play in a college history course .
